,CUB Classes,NABirds Classes
64,Bobolink,Bobolink
65,Pine_Grosbeak,Pine Grosbeak
66,House_Wren,House Wren
67,Great_Crested_Flycatcher,Great Crested Flycatcher
68,Pelagic_Cormorant,Pelagic Cormorant
69,Painted_Bunting,Painted Bunting
70,Downy_Woodpecker,Downy Woodpecker
71,Scarlet_Tanager,Scarlet Tanager
72,Cape_May_Warbler,Cape May Warbler
73,House_Sparrow,House Sparrow
74,Louisiana_Waterthrush,Louisiana Waterthrush
75,Bohemian_Waxwing,Bohemian Waxwing
76,American_Goldfinch,American Goldfinch
77,Horned_Grebe,Horned Grebe
78,Pigeon_Guillemot,Pigeon Guillemot
79,Western_Gull,Western Gull
80,Western_Meadowlark,Western Meadowlark
81,Red_winged_Blackbird,Red-winged Blackbird
82,Baltimore_Oriole,Baltimore Oriole
83,Black_and_white_Warbler,Black-and-white Warbler
84,Cedar_Waxwing,Cedar Waxwing
85,Yellow_Warbler,Yellow Warbler
86,Red_breasted_Merganser,Red-breasted Merganser
87,Blue_Jay,Blue Jay
88,California_Gull,California Gull
89,Brown_Pelican,Brown Pelican
90,Yellow_headed_Blackbird,Yellow-headed Blackbird
91,Hooded_Merganser,Hooded Merganser
92,Red_bellied_Woodpecker,Red-bellied Woodpecker
93,White_eyed_Vireo,White-eyed Vireo
94,Bronzed_Cowbird,Bronzed Cowbird
95,Yellow_throated_Vireo,Yellow-throated Vireo
96,Glaucous_winged_Gull,Glaucous-winged Gull
97,Hooded_Warbler,Hooded Warbler
98,Rufous_Hummingbird,Rufous Hummingbird
99,Purple_Finch,Purple Finch
100,Fox_Sparrow,Fox Sparrow
101,Common_Raven,Common Raven
102,Bay_breasted_Warbler,Bay-breasted Warbler
103,Evening_Grosbeak,Evening Grosbeak
104,Belted_Kingfisher,Belted Kingfisher
105,Rose_breasted_Grosbeak,Rose-breasted Grosbeak
106,Prairie_Warbler,Prairie Warbler
107,American_Redstart,American Redstart
108,Savannah_Sparrow,Savannah Sparrow
109,Scissor_tailed_Flycatcher,Scissor-tailed Flycatcher
110,Common_Tern,Common Tern
111,Red_eyed_Vireo,Red-eyed Vireo
112,Brewer_Sparrow,Brewer's Sparrow
113,Ovenbird,Ovenbird
114,Green_tailed_Towhee,Green-tailed Towhee
115,Black_throated_Blue_Warbler,Black-throated Blue Warbler
116,Clay_colored_Sparrow,Clay-colored Sparrow
117,American_Crow,American Crow
118,Bank_Swallow,Bank Swallow
119,Ring_billed_Gull,Ring-billed Gull
120,Marsh_Wren,Marsh Wren
121,Tree_Swallow,Tree Swallow
122,Bewick_Wren,Bewick's Wren
123,Yellow_billed_Cuckoo,Yellow-billed Cuckoo
124,Least_Flycatcher,Least Flycatcher
125,Harris_Sparrow,Harris's Sparrow
126,Northern_Waterthrush,Northern Waterthrush
127,Summer_Tanager,Summer Tanager
128,Lazuli_Bunting,Lazuli Bunting
129,Dark_eyed_Junco,Dark-eyed Junco
130,Clark_Nutcracker,Clark's Nutcracker
