nabirds,comm_inat,sci_inat
Green Heron,Green heron,Butorides virescens,485,04371_Animalia_Chordata_Aves_Pelecaniformes_Ardeidae_Butorides_virescens
Glossy Ibis,Glossy ibis,Plegadis falcinellus,486,04409_Animalia_Chordata_Aves_Pelecaniformes_Threskiornithidae_Plegadis_falcinellus
White-faced Ibis,White-faced ibis,Plegadis chihi,487,04408_Animalia_Chordata_Aves_Pelecaniformes_Threskiornithidae_Plegadis_chihi
Roseate Spoonbill,Roseate spoonbill,Platalea ajaja,488,04402_Animalia_Chordata_Aves_Pelecaniformes_Threskiornithidae_Platalea_ajaja
Black Vulture,Black vulture,Coragyps atratus,489,03333_Animalia_Chordata_Aves_Cathartiformes_Cathartidae_Coragyps_atratus
Turkey Vulture,Turkey vulture,Cathartes aura,490,03331_Animalia_Chordata_Aves_Cathartiformes_Cathartidae_Cathartes_aura
Osprey,Osprey,Pandion haliaetus,491,03185_Animalia_Chordata_Aves_Accipitriformes_Pandionidae_Pandion_haliaetus
Swallow-tailed Kite,Swallow-tailed kite,Elanoides forficatus,492,03149_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Elanoides_forficatus
White-tailed Kite,White-tailed kite,Elanus leucurus,493,03152_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Elanus_leucurus
Mississippi Kite,Mississippi kite,Ictinia mississippiensis,494,03167_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Ictinia_mississippiensis
Harris's Hawk,Harris's hawk,Parabuteo unicinctus,495,03176_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Parabuteo_unicinctus
Crested Caracara,Crested caracara,Caracara plancus,498,03593_Animalia_Chordata_Aves_Falconiformes_Falconidae_Caracara_plancus
Merlin,Merlin,Falco columbarius,499,03596_Animalia_Chordata_Aves_Falconiformes_Falconidae_Falco_columbarius
Prairie Falcon,Prairie falcon,Falco mexicanus,500,03598_Animalia_Chordata_Aves_Falconiformes_Falconidae_Falco_mexicanus
American Coot,American coot,Fulica americana,501,03655_Animalia_Chordata_Aves_Gruiformes_Rallidae_Fulica_americana
Sandhill Crane,Sandhill crane,Antigone canadensis,502,03648_Animalia_Chordata_Aves_Gruiformes_Gruidae_Antigone_canadensis
Semipalmated Plover,Semipalmated plover,Charadrius semipalmatus,503,03361_Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Charadrius_semipalmatus
Killdeer,Killdeer,Charadrius vociferus,504,03363_Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Charadrius_vociferus
American Oystercatcher,American oystercatcher,Haematopus palliatus,505,03385_Animalia_Chordata_Aves_Charadriiformes_Haematopodidae_Haematopus_palliatus
Black Oystercatcher,Black oystercatcher,Haematopus bachmani,506,03379_Animalia_Chordata_Aves_Charadriiformes_Haematopodidae_Haematopus_bachmani
Black-necked Stilt,Black-necked stilt,Himantopus mexicanus,507,03443_Animalia_Chordata_Aves_Charadriiformes_Recurvirostridae_Himantopus_mexicanus
American Avocet,American avocet,Recurvirostra americana,508,03444_Animalia_Chordata_Aves_Charadriiformes_Recurvirostridae_Recurvirostra_americana
Solitary Sandpiper,Solitary sandpiper,Tringa solitaria,509,03496_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Tringa_solitaria
Greater Yellowlegs,Greater yellowlegs,Tringa melanoleuca,510,03492_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Tringa_melanoleuca
Willet,Willet,Tringa semipalmata,511,03495_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Tringa_semipalmata
Lesser Yellowlegs,Lesser yellowlegs,Tringa flavipes,512,03489_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Tringa_flavipes
Long-billed Curlew,Long-billed curlew,Numenius americanus,514,03479_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Numenius_americanus
Marbled Godwit,Marbled godwit,Limosa fedoa,515,03475_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_fedoa
Ruddy Turnstone,Ruddy turnstone,Arenaria interpres,516,03449_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Arenaria_interpres
Black Turnstone,Black turnstone,Arenaria melanocephala,517,03450_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Arenaria_melanocephala
Surfbird,Surfbird,Calidris virgata,518,03470_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Calidris_virgata
Semipalmated Sandpiper,Semipalmated sandpiper,Calidris pusilla,519,03466_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Calidris_pusilla
Western Sandpiper,Western sandpiper,Calidris mauri,520,03461_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Calidris_mauri
Least Sandpiper,Least sandpiper,Calidris minutilla,521,03464_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Calidris_minutilla
Short-billed Dowitcher,Short-billed dowitcher,Limnodromus griseus,522,03473_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limnodromus_griseus
Wilson's Snipe,Wilson's snipe,Gallinago delicata,523,03471_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Gallinago_delicata
American Woodcock,American woodcock,Scolopax minor,524,03486_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Scolopax_minor
Band-tailed Pigeon,Band-tailed pigeon,Patagioenas fasciata,526,03528_Animalia_Chordata_Aves_Columbiformes_Columbidae_Patagioenas_fasciata
White-winged Dove,White-winged dove,Zenaida asiatica,528,03544_Animalia_Chordata_Aves_Columbiformes_Columbidae_Zenaida_asiatica
Mourning Dove,Mourning dove,Zenaida macroura,529,03547_Animalia_Chordata_Aves_Columbiformes_Columbidae_Zenaida_macroura
Inca Dove,Inca dove,Columbina inca,530,03517_Animalia_Chordata_Aves_Columbiformes_Columbidae_Columbina_inca
Monk Parakeet,Monk parakeet,Myiopsitta monachus,532,04515_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Myiopsitta_monachus
Yellow-billed Cuckoo,Yellow-billed cuckoo,Coccyzus americanus,533,03582_Animalia_Chordata_Aves_Cuculiformes_Cuculidae_Coccyzus_americanus
Black-billed Cuckoo,Black-billed cuckoo,Coccyzus erythropthalmus,534,03583_Animalia_Chordata_Aves_Cuculiformes_Cuculidae_Coccyzus_erythropthalmus
Greater Roadrunner,Greater roadrunner,Geococcyx californianus,535,03589_Animalia_Chordata_Aves_Cuculiformes_Cuculidae_Geococcyx_californianus
Barn Owl,Barn owl,Tyto alba,536,04562_Animalia_Chordata_Aves_Strigiformes_Tytonidae_Tyto_alba
Great Horned Owl,Great horned owl,Bubo virginianus,539,04549_Animalia_Chordata_Aves_Strigiformes_Strigidae_Bubo_virginianus
Snowy Owl,Snowy owl,Bubo scandiacus,540,04548_Animalia_Chordata_Aves_Strigiformes_Strigidae_Bubo_scandiacus
Burrowing Owl,Burrowing owl,Athene cunicularia,542,04544_Animalia_Chordata_Aves_Strigiformes_Strigidae_Athene_cunicularia
Barred Owl,Barred owl,Strix varia,543,04560_Animalia_Chordata_Aves_Strigiformes_Strigidae_Strix_varia
Northern Saw-whet Owl,Northern saw-whet owl,Aegolius acadicus,544,04540_Animalia_Chordata_Aves_Strigiformes_Strigidae_Aegolius_acadicus
Common Nighthawk,Common nighthawk,Chordeiles minor,545,03292_Animalia_Chordata_Aves_Caprimulgiformes_Caprimulgidae_Chordeiles_minor
Chimney Swift,Chimney swift,Chaetura pelagica,546,03288_Animalia_Chordata_Aves_Caprimulgiformes_Apodidae_Chaetura_pelagica
Vaux's Swift,Vaux's swift,Chaetura vauxi,547,03289_Animalia_Chordata_Aves_Caprimulgiformes_Apodidae_Chaetura_vauxi
White-throated Swift,White-throated swift,Aeronautes saxatalis,548,03286_Animalia_Chordata_Aves_Caprimulgiformes_Apodidae_Aeronautes_saxatalis
Belted Kingfisher,Belted kingfisher,Megaceryle alcyon,549,03557_Animalia_Chordata_Aves_Coraciiformes_Alcedinidae_Megaceryle_alcyon
Acorn Woodpecker,Acorn woodpecker,Melanerpes formicivorus,550,04453_Animalia_Chordata_Aves_Piciformes_Picidae_Melanerpes_formicivorus
Gila Woodpecker,Gila woodpecker,Melanerpes uropygialis,551,04458_Animalia_Chordata_Aves_Piciformes_Picidae_Melanerpes_uropygialis
Golden-fronted Woodpecker,Golden-fronted woodpecker,Melanerpes aurifrons,552,04449_Animalia_Chordata_Aves_Piciformes_Picidae_Melanerpes_aurifrons
Red-bellied Woodpecker,Red-bellied woodpecker,Melanerpes carolinus,553,04450_Animalia_Chordata_Aves_Piciformes_Picidae_Melanerpes_carolinus
Yellow-bellied Sapsucker,Yellow-bellied sapsucker,Sphyrapicus varius,554,04466_Animalia_Chordata_Aves_Piciformes_Picidae_Sphyrapicus_varius
Red-naped Sapsucker,Red-naped sapsucker,Sphyrapicus nuchalis,555,04463_Animalia_Chordata_Aves_Piciformes_Picidae_Sphyrapicus_nuchalis
Red-breasted Sapsucker,Red-breasted sapsucker,Sphyrapicus ruber,556,04464_Animalia_Chordata_Aves_Piciformes_Picidae_Sphyrapicus_ruber
Ladder-backed Woodpecker,Ladder-backed woodpecker,Dryobates scalaris,557,04443_Animalia_Chordata_Aves_Piciformes_Picidae_Dryobates_scalaris
Nuttall's Woodpecker,Nuttall's woodpecker,Dryobates nuttallii,558,04441_Animalia_Chordata_Aves_Piciformes_Picidae_Dryobates_nuttallii
Downy Woodpecker,Downy woodpecker,Dryobates pubescens,559,04442_Animalia_Chordata_Aves_Piciformes_Picidae_Dryobates_pubescens
Hairy Woodpecker,Hairy woodpecker,Dryobates villosus,560,04444_Animalia_Chordata_Aves_Piciformes_Picidae_Dryobates_villosus
Pileated Woodpecker,Pileated woodpecker,Dryocopus pileatus,561,04447_Animalia_Chordata_Aves_Piciformes_Picidae_Dryocopus_pileatus
Ross's Goose,Ross's goose,Anser rossii,612,03214_Animalia_Chordata_Aves_Anseriformes_Anatidae_Anser_rossii
Fish Crow,Fish crow,Corvus ossifragus,800,03759_Animalia_Chordata_Aves_Passeriformes_Corvidae_Corvus_ossifragus
Common Raven,Common raven,Corvus corax,802,03751_Animalia_Chordata_Aves_Passeriformes_Corvidae_Corvus_corax
Horned Lark,Horned lark,Eremophila alpestris,803,03692_Animalia_Chordata_Aves_Passeriformes_Alaudidae_Eremophila_alpestris
Tree Swallow,Tree swallow,Tachycineta bicolor,804,03864_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Tachycineta_bicolor
Violet-green Swallow,Violet-green swallow,Tachycineta thalassina,805,03865_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Tachycineta_thalassina
Northern Rough-winged Swallow,Northern rough-winged swallow,Stelgidopteryx serripennis,806,03861_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Stelgidopteryx_serripennis
Bank Swallow,Bank Swallow,Riparia riparia,807,03859_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Riparia_riparia
Cliff Swallow,Cliff swallow,Petrochelidon pyrrhonota,808,03853_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Petrochelidon_pyrrhonota
Cave Swallow,Cave swallow,Petrochelidon fulva,809,03852_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Petrochelidon_fulva
Barn Swallow,Barn swallow,Hirundo rustica,810,03849_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Hirundo_rustica
Carolina Chickadee,Carolina chickadee,Poecile carolinensis,811,04038_Animalia_Chordata_Aves_Passeriformes_Paridae_Poecile_carolinensis
Black-capped Chickadee,Black-capped chickadee,Poecile atricapillus,812,04037_Animalia_Chordata_Aves_Passeriformes_Paridae_Poecile_atricapillus
Mountain Chickadee,Mountain chickadee,Poecile gambeli,813,04039_Animalia_Chordata_Aves_Passeriformes_Paridae_Poecile_gambeli
Chestnut-backed Chickadee,Chestnut-backed chickadee,Poecile rufescens,814,04043_Animalia_Chordata_Aves_Passeriformes_Paridae_Poecile_rufescens
Boreal Chickadee,Boreal chickadee,Poecile hudsonicus,815,04040_Animalia_Chordata_Aves_Passeriformes_Paridae_Poecile_hudsonicus
Bridled Titmouse,Bridled titmouse,Baeolophus wollweberi,816,04030_Animalia_Chordata_Aves_Passeriformes_Paridae_Baeolophus_wollweberi
Oak Titmouse,Oak titmouse,Baeolophus inornatus,817,04028_Animalia_Chordata_Aves_Passeriformes_Paridae_Baeolophus_inornatus
Juniper Titmouse,Juniper titmouse,Baeolophus ridgwayi,818,04029_Animalia_Chordata_Aves_Passeriformes_Paridae_Baeolophus_ridgwayi
Tufted Titmouse,Tufted titmouse,Baeolophus bicolor,819,04027_Animalia_Chordata_Aves_Passeriformes_Paridae_Baeolophus_bicolor
Black-crested Titmouse,Black-crested titmouse,Baeolophus atricristatus,820,04026_Animalia_Chordata_Aves_Passeriformes_Paridae_Baeolophus_atricristatus
Verdin,Verdin,Auriparus flaviceps,821,04181_Animalia_Chordata_Aves_Passeriformes_Remizidae_Auriparus_flaviceps
Red-breasted Nuthatch,Red-breasted nuthatch,Sitta canadensis,823,04186_Animalia_Chordata_Aves_Passeriformes_Sittidae_Sitta_canadensis
White-breasted Nuthatch,White-breasted nuthatch,Sitta carolinensis,824,04187_Animalia_Chordata_Aves_Passeriformes_Sittidae_Sitta_carolinensis
Pygmy Nuthatch,Pygmy nuthatch,Sitta pygmaea,825,04190_Animalia_Chordata_Aves_Passeriformes_Sittidae_Sitta_pygmaea
Brown-headed Nuthatch,Brown-headed nuthatch,Sitta pusilla,826,04189_Animalia_Chordata_Aves_Passeriformes_Sittidae_Sitta_pusilla
Brown Creeper,Brown creeper,Certhia americana,827,03728_Animalia_Chordata_Aves_Passeriformes_Certhiidae_Certhia_americana
Cactus Wren,Cactus wren,Campylorhynchus brunneicapillus,828,04252_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Campylorhynchus_brunneicapillus
Canyon Wren,Canyon wren,Catherpes mexicanus,829,04256_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Catherpes_mexicanus
Carolina Wren,Carolina wren,Thryothorus ludovicianus,830,04261_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Thryothorus_ludovicianus
Bewick's Wren,Bewick's wren,Thryomanes bewickii,831,04260_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Thryomanes_bewickii
House Wren,House wren,Troglodytes aedon,832,04262_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Troglodytes_aedon
Pacific Wren,Pacific wren,Troglodytes pacificus,833,04264_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Troglodytes_pacificus
Winter Wren,Winter wren,Troglodytes hiemalis,834,04263_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Troglodytes_hiemalis
Marsh Wren,Marsh wren,Cistothorus palustris,835,04257_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Cistothorus_palustris
Blue-gray Gnatcatcher,Blue-gray gnatcatcher,Polioptila caerulea,836,04156_Animalia_Chordata_Aves_Passeriformes_Polioptilidae_Polioptila_caerulea
Black-tailed Gnatcatcher,Black-tailed gnatcatcher,Polioptila melanura,837,04159_Animalia_Chordata_Aves_Passeriformes_Polioptilidae_Polioptila_melanura
American Dipper,American dipper,Cinclus mexicanus,838,03732_Animalia_Chordata_Aves_Passeriformes_Cinclidae_Cinclus_mexicanus
Golden-crowned Kinglet,Golden-crowned kinglet,Regulus satrapa,839,04180_Animalia_Chordata_Aves_Passeriformes_Regulidae_Regulus_satrapa
Ruby-crowned Kinglet,Ruby-crowned kinglet,Regulus calendula,840,04177_Animalia_Chordata_Aves_Passeriformes_Regulidae_Regulus_calendula
Wrentit,Wrentit,Chamaea fasciata,841,04203_Animalia_Chordata_Aves_Passeriformes_Sylviidae_Chamaea_fasciata
Eastern Bluebird,Eastern bluebird,Sialia sialis,842,04275_Animalia_Chordata_Aves_Passeriformes_Turdidae_Sialia_sialis
Western Bluebird,Western bluebird,Sialia mexicana,843,04274_Animalia_Chordata_Aves_Passeriformes_Turdidae_Sialia_mexicana
Mountain Bluebird,Mountain bluebird,Sialia currucoides,844,04273_Animalia_Chordata_Aves_Passeriformes_Turdidae_Sialia_currucoides
Townsend's Solitaire,Townsend's solitaire,Myadestes townsendi,845,04272_Animalia_Chordata_Aves_Passeriformes_Turdidae_Myadestes_townsendi
Veery,Veery,Catharus fuscescens,846,04266_Animalia_Chordata_Aves_Passeriformes_Turdidae_Catharus_fuscescens
Swainson's Thrush,Swainson's thrush,Catharus ustulatus,847,04269_Animalia_Chordata_Aves_Passeriformes_Turdidae_Catharus_ustulatus
Hermit Thrush,Hermit thrush,Catharus guttatus,848,04267_Animalia_Chordata_Aves_Passeriformes_Turdidae_Catharus_guttatus
Wood Thrush,Wood thrush,Hylocichla mustelina,849,04270_Animalia_Chordata_Aves_Passeriformes_Turdidae_Hylocichla_mustelina
Varied Thrush,Varied thrush,Ixoreus naevius,850,04271_Animalia_Chordata_Aves_Passeriformes_Turdidae_Ixoreus_naevius
Gray Catbird,Gray catbird,Dumetella carolinensis,851,03940_Animalia_Chordata_Aves_Passeriformes_Mimidae_Dumetella_carolinensis
Northern Mockingbird,Northern mockingbird,Mimus polyglottos,852,03944_Animalia_Chordata_Aves_Passeriformes_Mimidae_Mimus_polyglottos
Brown Thrasher,Brown thrasher,Toxostoma rufum,853,03950_Animalia_Chordata_Aves_Passeriformes_Mimidae_Toxostoma_rufum
Curve-billed Thrasher,Curve-billed thrasher,Toxostoma curvirostre,854,03947_Animalia_Chordata_Aves_Passeriformes_Mimidae_Toxostoma_curvirostre
California Thrasher,California thrasher,Toxostoma redivivum,855,03949_Animalia_Chordata_Aves_Passeriformes_Mimidae_Toxostoma_redivivum
American Pipit,American Pipit,Anthus rubescens,857,03962_Animalia_Chordata_Aves_Passeriformes_Motacillidae_Anthus_rubescens
Bohemian Waxwing,Bohemian waxwing,Bombycilla garrulus,858,03702_Animalia_Chordata_Aves_Passeriformes_Bombycillidae_Bombycilla_garrulus
Cedar Waxwing,Cedar waxwing,Bombycilla cedrorum,859,03701_Animalia_Chordata_Aves_Passeriformes_Bombycillidae_Bombycilla_cedrorum
Ovenbird,Ovenbird,Seiurus aurocapilla,860,04064_Animalia_Chordata_Aves_Passeriformes_Parulidae_Seiurus_aurocapilla
Louisiana Waterthrush,Louisiana waterthrush,Parkesia motacilla,861,04061_Animalia_Chordata_Aves_Passeriformes_Parulidae_Parkesia_motacilla
Northern Waterthrush,Northern waterthrush,Parkesia noveboracensis,862,04062_Animalia_Chordata_Aves_Passeriformes_Parulidae_Parkesia_noveboracensis
Blue-winged Warbler,Blue-winged warbler,Vermivora cyanoptera,863,04090_Animalia_Chordata_Aves_Passeriformes_Parulidae_Vermivora_cyanoptera
Black-and-white Warbler,Black-and-white warbler,Mniotilta varia,864,04057_Animalia_Chordata_Aves_Passeriformes_Parulidae_Mniotilta_varia
Prothonotary Warbler,Prothonotary warbler,Protonotaria citrea,865,04063_Animalia_Chordata_Aves_Passeriformes_Parulidae_Protonotaria_citrea
Tennessee Warbler,Tennessee warbler,Leiothlypis peregrina,866,04055_Animalia_Chordata_Aves_Passeriformes_Parulidae_Leiothlypis_peregrina
Orange-crowned Warbler,Orange-crowned warbler,Leiothlypis celata,867,04053_Animalia_Chordata_Aves_Passeriformes_Parulidae_Leiothlypis_celata
Nashville Warbler,Nashville warbler,Leiothlypis ruficapilla,868,04056_Animalia_Chordata_Aves_Passeriformes_Parulidae_Leiothlypis_ruficapilla
MacGillivray's Warbler,MacGillivray's warbler,Geothlypis tolmiei,869,04050_Animalia_Chordata_Aves_Passeriformes_Parulidae_Geothlypis_tolmiei
Mourning Warbler,Mourning warbler,Geothlypis philadelphia,870,04049_Animalia_Chordata_Aves_Passeriformes_Parulidae_Geothlypis_philadelphia
Hooded Warbler,Hooded warbler,Setophaga citrina,871,04070_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_citrina
Cape May Warbler,Cape May warbler,Setophaga tigrina,872,04086_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_tigrina
Northern Parula,Northern parula,Setophaga americana,873,04065_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_americana
Blackburnian Warbler,Blackburnian warbler,Setophaga fusca,874,04074_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_fusca
Yellow Warbler,Yellow warbler,Setophaga petechia,875,04081_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_petechia
Palm Warbler,Palm warbler,Setophaga palmarum,876,04079_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_palmarum
Pine Warbler,Pine warbler,Setophaga pinus,877,04082_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_pinus
Yellow-throated Warbler,Yellow-throated warbler,Setophaga dominica,878,04073_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_dominica
Prairie Warbler,Prairie warbler,Setophaga discolor,879,04072_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_discolor
Black-throated Gray Warbler,Black-throated gray warbler,Setophaga nigrescens,880,04077_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_nigrescens
Townsend's Warbler,Townsend's warbler,Setophaga townsendi,881,04087_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_townsendi
Hermit Warbler,Hermit warbler,Setophaga occidentalis,882,04078_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_occidentalis
Black-throated Green Warbler,Black-throated green warbler,Setophaga virens,883,04088_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_virens
Canada Warbler,Canada warbler,Cardellina canadensis,884,04046_Animalia_Chordata_Aves_Passeriformes_Parulidae_Cardellina_canadensis
Wilson's Warbler,Wilson's warbler,Cardellina pusilla,885,04047_Animalia_Chordata_Aves_Passeriformes_Parulidae_Cardellina_pusilla
Yellow-breasted Chat,Yellow-breasted chat,Icteria virens,886,03905_Animalia_Chordata_Aves_Passeriformes_Icteriidae_Icteria_virens
Green-tailed Towhee,Green-tailed towhee,Pipilo chlorurus,887,04117_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Pipilo_chlorurus
Spotted Towhee,Spotted towhee,Pipilo maculatus,888,04119_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Pipilo_maculatus
Eastern Towhee,Eastern towhee,Pipilo erythrophthalmus,889,04118_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Pipilo_erythrophthalmus
Rufous-crowned Sparrow,Rufous-crowned sparrow,Aimophila ruficeps,890,04091_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Aimophila_ruficeps
Canyon Towhee,Canyon towhee,Melozone fusca,891,04110_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Melozone_fusca
California Towhee,California towhee,Melozone crissalis,892,04109_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Melozone_crissalis
