cub,comm_inat,sci_inat
Red-eyed Vireo,Red-eyed vireo,Vireo olivaceus,154.Red_eyed_Vireo,04346_Animalia_Chordata_Aves_Passeriformes_Vireonidae_Vireo_olivaceus
Sage Thrasher,Sage thrasher,Oreoscoptes montanus,150.Sage_Thrasher,03946_Animalia_Chordata_Aves_Passeriformes_Mimidae_Oreoscoptes_montanus
Yellow-headed Blackbird,Yellow-headed blackbird,Xanthocephalus xanthocephalus,012.Yellow_headed_Blackbird,03904_Animalia_Chordata_Aves_Passeriformes_Icteridae_Xanthocephalus_xanthocephalus
Yellow-breasted Chat,Yellow-breasted chat,Icteria virens,020.Yellow_breasted_Chat,03905_Animalia_Chordata_Aves_Passeriformes_Icteriidae_Icteria_virens
European Goldfinch,European goldfinch,Carduelis carduelis,048.European_Goldfinch,03809_Animalia_Chordata_Aves_Passeriformes_Fringillidae_Carduelis_carduelis
Black-and-white Warbler,Black-and-white warbler,Mniotilta varia,159.Black_and_white_Warbler,04057_Animalia_Chordata_Aves_Passeriformes_Parulidae_Mniotilta_varia
Green Kingfisher,Green kingfisher,Chloroceryle americana,080.Green_Kingfisher,03551_Animalia_Chordata_Aves_Coraciiformes_Alcedinidae_Chloroceryle_americana
American Redstart,American redstart,Setophaga ruticilla,109.American_Redstart,04084_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_ruticilla
Prothonotary Warbler,Prothonotary warbler,Protonotaria citrea,177.Prothonotary_Warbler,04063_Animalia_Chordata_Aves_Passeriformes_Parulidae_Protonotaria_citrea
Northern Waterthrush,Northern waterthrush,Parkesia noveboracensis,183.Northern_Waterthrush,04062_Animalia_Chordata_Aves_Passeriformes_Parulidae_Parkesia_noveboracensis
Magnolia Warbler,Magnolia warbler,Setophaga magnolia,169.Magnolia_Warbler,04076_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_magnolia
Loggerhead Shrike,Loggerhead shrike,Lanius ludovicianus,111.Loggerhead_Shrike,03911_Animalia_Chordata_Aves_Passeriformes_Laniidae_Lanius_ludovicianus
Northern Flicker,Northern flicker,Colaptes auratus,036.Northern_Flicker,04427_Animalia_Chordata_Aves_Piciformes_Picidae_Colaptes_auratus
Horned Lark,Horned lark,Eremophila alpestris,085.Horned_Lark,03692_Animalia_Chordata_Aves_Passeriformes_Alaudidae_Eremophila_alpestris
Pelagic Cormorant,Pelagic cormorant,Phalacrocorax pelagicus,025.Pelagic_Cormorant,04578_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_pelagicus
Scarlet Tanager,Scarlet tanager,Piranga olivacea,139.Scarlet_Tanager,03725_Animalia_Chordata_Aves_Passeriformes_Cardinalidae_Piranga_olivacea
Yellow Warbler,Yellow warbler,Setophaga petechia,182.Yellow_Warbler,04081_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_petechia
Shiny Cowbird,Shiny cowbird,Molothrus bonariensis,027.Shiny_Cowbird,03894_Animalia_Chordata_Aves_Passeriformes_Icteridae_Molothrus_bonariensis
Rock Wren,Rock wren,Salpinctes obsoletus,198.Rock_Wren,04259_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Salpinctes_obsoletus
